outcome;studies;combinations;risk_of_bias;inconsistency;indirectness;imprecision;publication_bias;domains_downgraded;levels_downgraded;certainty
stunting;30;30;high in 29/30 studies (PROBAST+AI, development);AUC from 0.65 to 1.00 in 12 combinations;"28/30 are diagnostic classification; 57% of combinations from Indonesia";"AUC reported in 12/30 combinations; median N 6677";"not formally assessable; predominance of conference literature indexed in IEEE Xplore";"risk of bias (very serious, 2 levels); inconsistency; indirectness";4;very low
obesity;6;6;high in 6/6 studies (PROBAST+AI, development);AUC from 0.67 to 0.85 in 5 combinations;"2/6 are diagnostic classification; 0% of combinations from Indonesia";"AUC reported in 5/6 combinations; median N 22853";"not formally assessable; predominance of conference literature indexed in IEEE Xplore";risk of bias (very serious, 2 levels);2;low
overweight;2;2;high in 2/2 studies (PROBAST+AI, development);AUC from 0.62 to 0.81 in 2 combinations;"2/2 are diagnostic classification; 0% of combinations from Indonesia";"AUC reported in 2/2 combinations; median N 12243";"not formally assessable; predominance of conference literature indexed in IEEE Xplore";"risk of bias (very serious, 2 levels); indirectness; imprecision";4;very low
overweight/obesity (combined);1;1;high in 1/1 studies (PROBAST+AI, development);AUC from 0.62 to 0.62 in 1 combinations;"1/1 are diagnostic classification; 0% of combinations from Indonesia";"AUC reported in 1/1 combinations; median N 6801";"not formally assessable; predominance of conference literature indexed in IEEE Xplore";"risk of bias (very serious, 2 levels); indirectness; imprecision";4;very low
