desfecho;estudos;combinacoes;risco_de_vies;inconsistencia;indirecao;imprecisao;vies_de_publicacao;dominios_rebaixados;niveis_rebaixados;certeza
stunting;30;30;alto em 29/30 estudos (PROBAST+AI, desenvolvimento);AUC de 0.65 a 1.00 em 12 combinacoes;"28/30 sao classificacao diagnostica; 57% das combinacoes na Indonesia";"AUC reportada em 12/30 combinacoes; N mediano 6677";"nao avaliavel formalmente; predominio de literatura de congresso indexada no IEEE Xplore";"risco de vies (muito serio, 2 niveis); inconsistencia; indirecao";4;muito baixa
obesity;6;6;alto em 6/6 estudos (PROBAST+AI, desenvolvimento);AUC de 0.67 a 0.85 em 5 combinacoes;"2/6 sao classificacao diagnostica; 0% das combinacoes na Indonesia";"AUC reportada em 5/6 combinacoes; N mediano 22853";"nao avaliavel formalmente; predominio de literatura de congresso indexada no IEEE Xplore";risco de vies (muito serio, 2 niveis);2;baixa
overweight;2;2;alto em 2/2 estudos (PROBAST+AI, desenvolvimento);AUC de 0.62 a 0.81 em 2 combinacoes;"2/2 sao classificacao diagnostica; 0% das combinacoes na Indonesia";"AUC reportada em 2/2 combinacoes; N mediano 12243";"nao avaliavel formalmente; predominio de literatura de congresso indexada no IEEE Xplore";"risco de vies (muito serio, 2 niveis); indirecao; imprecisao";4;muito baixa
overweight/obesity (combinado);1;1;alto em 1/1 estudos (PROBAST+AI, desenvolvimento);AUC de 0.62 a 0.62 em 1 combinacoes;"1/1 sao classificacao diagnostica; 0% das combinacoes na Indonesia";"AUC reportada em 1/1 combinacoes; N mediano 6801";"nao avaliavel formalmente; predominio de literatura de congresso indexada no IEEE Xplore";"risco de vies (muito serio, 2 niveis); indirecao; imprecisao";4;muito baixa
